Network Hamming	Network BER	Network #messages	Network #slaves	Request Payload size (ecc):	Response fail %	Response Payload size (ecc):	Master fault with updates #messages:	Device-to-Device Response #trasmission:	Master #messages:	Device-to-Device fault:	Device-to-Device success:	Master fault with no update #messages:	Request Payload size (no-ecc):	Request success %:	Response Packet size	Device-to-Device retrasmission:	Response Packet Block count:	Request Packet size	Response Header size	Master average path:	Request Packet Block count:	Response success %:	Request Header size	Response Payload size (no-ecc):	Master average Update Link:	Device-to-Device #trasmission:	Request recoverable %	Device-to-Device Request  #trasmission:	Request fail %	Response recoverable %
1.0	1.0000001043081328E-7	500.0	5.0	98.0	2.2789647946552805E-8	70.0	0.0	800.0	500.0	0.0	1600.0	0.0	56.0	99.99758002890951	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.99786002256866	144.0	40.0	2.0	1600.0	0.0024199419311134013	800.0	2.91593749146557E-8	0.002139954641693083
1.0	1.0000001043081328E-7	5000.0	5.0	98.0	2.2789647946552805E-8	70.0	0.0	8000.0	5000.0	0.0	16000.0	0.0	56.0	99.99758002890951	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.99786002256866	144.0	40.0	2.0	16000.0	0.0024199419311134013	8000.0	2.91593749146557E-8	0.002139954641693083
1.0	1.0000001043081328E-7	50000.0	5.0	98.0	2.2789647946552805E-8	70.0	0.0	80000.0	50000.0	0.0	160000.0	0.0	56.0	99.99758002890951	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.99786002256866	144.0	40.0	2.0	160000.0	0.0024199419311134013	80000.0	2.91593749146557E-8	0.002139954641693083
0.0	1.0000001043081328E-7	5.0	5.0	7.0	1.0999995641885869E-4	11.0	0.0	8.0	5.0	0.0	16.0	0.0	7.0	99.99993000001372	11.0	0.0	2.0	7.0	144.0	1.0	2.0	99.99989000004358	144.0	11.0	2.0	16.0	0.0	8.0	6.999998628478621E-5	0.0
0.0	1.0000001043081328E-7	50.0	5.0	7.0	4.9999995196310465E-5	5.0	0.0	80.0	50.0	0.0	160.0	0.0	7.0	99.99993000001372	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.9999500000048	144.0	5.0	2.0	160.0	0.0	80.0	6.999998628478621E-5	0.0
0.0	1.0000001043081328E-7	500.0	5.0	7.0	4.9999995196310465E-5	5.0	0.0	800.0	500.0	0.0	1600.0	0.0	7.0	99.99993000001372	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.9999500000048	144.0	5.0	2.0	1600.0	0.0	800.0	6.999998628478621E-5	0.0
0.0	1.0000001043081328E-7	5000.0	5.0	7.0	4.9999995196310465E-5	5.0	0.0	8000.0	5000.0	0.0	16000.0	0.0	7.0	99.99993000001372	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.9999500000048	144.0	5.0	2.0	16000.0	0.0	8000.0	6.999998628478621E-5	0.0
0.0	1.0000001043081328E-7	50000.0	5.0	7.0	4.9999995196310465E-5	5.0	0.0	83272.0	50000.0	0.0	166544.0	0.0	7.0	99.99993000001372	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.9999500000048	144.0	5.0	3275.0	166544.0	0.0	83272.0	6.999998628478621E-5	0.0
1.0	1.0000001192092956E-8	5.0	5.0	98.0	4.415690035841635E-10	154.0	0.0	8.0	5.0	0.0	16.0	0.0	56.0	99.99975800026354	298.0	0.0	23.0	242.0	144.0	1.0	15.0	99.99970200040796	144.0	88.0	2.0	16.0	2.419994456292122E-4	8.0	2.90834023530806E-10	2.979991504654718E-4
1.0	1.0000001192092956E-8	50.0	5.0	98.0	2.4459323455516824E-10	78.0	0.0	80.0	50.0	0.0	160.0	0.0	56.0	99.99975800026354	222.0	0.0	12.0	242.0	144.0	1.0	15.0	99.99977800021956	144.0	44.0	2.0	160.0	2.419994456292122E-4	80.0	2.90834023530806E-10	2.2199953584488795E-4
1.0	1.0000001192092956E-8	500.0	5.0	98.0	2.2721824421978454E-10	70.0	0.0	800.0	500.0	0.0	1600.0	0.0	56.0	99.99975800026354	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.9997860002031	144.0	40.0	2.0	1600.0	2.419994456292122E-4	800.0	2.90834023530806E-10	2.1399956969116526E-4
1.0	1.0000001192092956E-8	5000.0	5.0	98.0	2.2721824421978454E-10	70.0	0.0	8000.0	5000.0	0.0	16000.0	0.0	56.0	99.99975800026354	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.9997860002031	144.0	40.0	2.0	16000.0	2.419994456292122E-4	8000.0	2.90834023530806E-10	2.1399956969116526E-4
1.0	1.0000001192092956E-8	50000.0	5.0	98.0	2.2721824421978454E-10	70.0	0.0	80000.0	50000.0	0.0	160000.0	0.0	56.0	99.99975800026354	214.0	0.0	11.0	242.0	144.0	1.0	15.0	99.9997860002031	144.0	40.0	2.0	160000.0	2.419994456292122E-4	80000.0	2.90834023530806E-10	2.1399956969116526E-4
0.0	1.0000001192092956E-8	5.0	5.0	7.0	1.1000000722004635E-5	11.0	0.0	8.0	5.0	0.0	16.0	0.0	7.0	99.9999929999994	11.0	0.0	2.0	7.0	144.0	1.0	2.0	99.99998899999927	144.0	11.0	2.0	16.0	0.0	8.0	7.000000592100666E-6	0.0
0.0	1.0000001192092956E-8	50.0	5.0	7.0	5.000000473762046E-6	5.0	0.0	80.0	50.0	0.0	160.0	0.0	7.0	99.9999929999994	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.99999499999953	144.0	5.0	2.0	160.0	0.0	80.0	7.000000592100666E-6	0.0
0.0	1.0000001192092956E-8	500.0	5.0	7.0	5.000000473762046E-6	5.0	0.0	800.0	500.0	0.0	1600.0	0.0	7.0	99.9999929999994	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.99999499999953	144.0	5.0	2.0	1600.0	0.0	800.0	7.000000592100666E-6	0.0
0.0	1.0000001192092956E-8	5000.0	5.0	7.0	5.000000473762046E-6	5.0	0.0	8000.0	5000.0	0.0	16000.0	0.0	7.0	99.9999929999994	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.99999499999953	144.0	5.0	2.0	16000.0	0.0	8000.0	7.000000592100666E-6	0.0
0.0	1.0000001192092956E-8	50000.0	5.0	7.0	5.000000473762046E-6	5.0	0.0	80000.0	50000.0	0.0	160000.0	0.0	7.0	99.9999929999994	5.0	0.0	2.0	7.0	144.0	1.0	2.0	99.99999499999953	144.0	5.0	2.0	160000.0	0.0	80000.0	7.000000592100666E-6	0.0
